Position,Symbol,AVG Delta(Ct)  (Ct(GOI) - Ave Ct(HKG)),,,,,Standard Deviation,,,,
,,Control Group,Group 1,Group 2,Group 3,Group 4,Control Group,Group 1,Group 2,Group 3,Group 4
E02,JAK2,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
E03,LY96,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
E04,LYZ,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
E05,MAPK1,0.00,3.17,0.00,0.00,4.30,0.000000,0.000000,0.000000,0.000000,0.000000
E06,MAPK8,0.00,0.78,0.00,0.00,1.26,0.000000,0.000000,0.000000,0.000000,0.000000
E07,MBL2,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
E08,MPO,0.00,5.59,0.00,0.00,5.88,0.000000,0.000000,0.000000,0.000000,0.000000
E09,MX1,0.00,5.59,0.00,0.00,5.60,0.000000,0.000000,0.000000,0.000000,0.000000
E10,MYD88,-1.00,4.68,0.00,0.00,4.66,0.000000,0.000000,0.000000,0.000000,0.000000
E11,NFKB1,0.00,5.52,0.00,0.00,5.42,0.000000,0.000000,0.000000,0.000000,0.000000
E12,NFKBIA,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
F01,NLRP3,-3.85,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
F02,NOD1,0.00,5.59,0.00,0.00,5.72,0.000000,0.000000,0.000000,0.000000,0.000000
F03,NOD2,0.00,3.84,0.00,0.00,2.21,0.000000,0.000000,0.000000,0.000000,0.000000
F04,RAG1,0.00,5.15,0.00,0.00,4.76,0.000000,0.000000,0.000000,0.000000,0.000000
F05,RORC,0.00,0.56,0.00,0.00,0.84,0.000000,0.000000,0.000000,0.000000,0.000000
F06,SLC11A1,0.00,1.74,-0.71,-0.67,1.42,0.000000,0.000000,0.000000,0.000000,0.000000
F07,STAT1,-0.95,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
F08,STAT3,0.00,3.98,0.00,0.00,4.48,0.000000,0.000000,0.000000,0.000000,0.000000
F09,STAT4,0.00,5.59,0.00,0.00,6.86,0.000000,0.000000,0.000000,0.000000,0.000000
F10,STAT6,0.00,5.54,0.00,0.00,6.24,0.000000,0.000000,0.000000,0.000000,0.000000
F11,TBX21,0.00,5.59,0.00,0.00,5.95,0.000000,0.000000,0.000000,0.000000,0.000000
F12,TICAM1,0.00,4.64,0.00,0.00,4.17,0.000000,0.000000,0.000000,0.000000,0.000000
G01,TLR1,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
G02,TLR2,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
G03,TLR3,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
G04,TLR4,0.00,2.83,0.00,0.00,2.16,0.000000,0.000000,0.000000,0.000000,0.000000
G05,TLR5,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
G06,TLR6,0.00,4.50,0.00,0.00,3.16,0.000000,0.000000,0.000000,0.000000,0.000000
G07,TLR7,0.00,5.59,0.00,0.00,6.65,0.000000,0.000000,0.000000,0.000000,0.000000
G08,TLR8,0.00,5.59,0.00,0.00,6.08,0.000000,0.000000,0.000000,0.000000,0.000000
G09,TLR9,0.00,5.59,0.00,0.00,6.70,0.000000,0.000000,0.000000,0.000000,0.000000
G10,TNF,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
G11,TRAF6,0.00,3.47,0.00,0.00,4.03,0.000000,0.000000,0.000000,0.000000,0.000000
G12,TYK2,0.00,5.59,0.00,0.00,6.79,0.000000,0.000000,0.000000,0.000000,0.000000
H01,ACTB,0.00,0.73,-2.44,0.00,0.87,0.000000,0.000000,0.000000,0.000000,0.000000
H02,B2M,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
H03,GAPDH,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000
H04,HPRT1,0.00,0.87,0.00,0.00,1.15,0.000000,0.000000,0.000000,0.000000,0.000000
H05,RPLP0,0.00,5.59,0.00,0.00,7.59,0.000000,0.000000,0.000000,0.000000,0.000000
